address,"total NEST to claim, wei"
0x001B71FAD769B3cd47fD4C9849c704FdFaBF6096,1363372583669030000000
0x002344F3C01b32771936403d2E531c1B4018ECc6,3707560871368090000000
0x008f84b4f7B625636dD3E75045704b077D8db445,2141715607795770000000
0x009c82EC2dC81FE2F761891165d5C9Eb52953Ef3,54691702002217100000
0x00a01bC13a1DdF4a4Af6852baeE66b76A0316CBc,2317442191193770000000
0x00F69AD2107E9475B62Cdb15F8F6879b62003cC1,150307628502180000000
0x011b0a055E02425461A1ae95B30F483c4fF05bE7,153375661391865000000000
0x013970b99267F6f6acfe52948B1A22973A976BD5,497700260447974000000000
0x016387F0fDbF5F10647a2712524AC7B839164CD8,33932506759887500000
0x0175b01D8ef9b494888D6baBdbC4f6d89F74de65,1064656286190920000
0x0197693386d6448453f0b4D391b4E39312EFFB41,165802810116092000000
0x01Da72EEc8Cc2B520EaBa33906a2771888D327Bb,4874992591524420000000
0x02706C602c59F86Cc2EbD9aE662a25987A7C7986,119302740315393000000
0x02777fa143175Bdc916f800C4337f307d28a9Fd9,2141715607795770000000
0x029F5cB93F391dd140b03aF7B8D492a17A6A073A,70440240332377800000000
0x03174f008c56cd02034955D81fdE78d5001F8197,24610282384618400000000
0x03D52Cb84D90773C280Ad77af95Ac55807c94790,1390025441103590000000000
0x0422211c02fef3F623B1dA67A116482B029D8BCa,1634213531807430000000
0x04261F3A4f4E244B80ED7e3d8b7fF28Abd6c4Dc9,197279899832102000000
0x0452b130342e83334cE04f56906B1B095B9eB19E,7519651276812110000000
0x04883A6bf66f0927aC057a1B8959916ABbbE6c52,1293548298970600000000
0x0559D667f53F1DC34bA0F202e20C58b50D78Be86,2141715607795770000000
0x055D875697aB3Aa91fF64B16875B1Ac4EA1a656f,1508204379157990000000
0x05707A373A4af5dFeaeaB2D32fc806CF1e41f44d,25020892444934300000
0x0570c9C566e6cd7426E83058064675DB304AFf65,332581145103842000000
0x057CEdF90134340914ABC575Be02b58a5B86ef03,1786531481760740000
0x058cFe683a1688E283bC88c6065c583F78cD90Fb,10106594717628500000000
0x058FD36A48e1C9980B34b41eaC8a46C3EAF19A41,54355952836829400000
0x05b27974688b1078A105c7f5BAdab65a5A41431C,16379327477215600000
0x05b9E1E6954F3071bA56Ba18c93f56119DCEa030,263313197009302000000
0x05d2B4F2c49Ce748bf85E93aBAB73fbDF5BACC9A,3609547342779120000000
0x069C4Ead784939c7720dFa17830b8CDcD0eCaF0E,315488178571386000000
0x069C65765eDe4b03285661C717Eefe3dcC5078A9,2141715607795770000000
0x06AE997194d73C3a25d7eD613B3f1BE8bA3783BE,2141715607795770000000
0x06b04A5e95620DBD13a2b27BC359E0a77f263051,200865152680837000000
0x06CD1d95Ce27481d6FCF5052b3b69f804b97eEcC,2587096597941190000000
0x06F5e5f48240AD36676F914367C2CfD48b71458a,20119273918362300000
0x070D5961b76216BB5bC2D27e22D85702e3C393fC,2141715607795770000000
0x072e333E4C5B434A59e74f8876035CF81E5f248e,5933569419379030000000
0x0736e3344001109d17504164c0FB2Ec4A194aD62,459103449637738000000
0x079137519d88bE75E0080C2eA53a02F0E7070158,1422964869353480000000
0x079BE60c7052b77888b7672C2e63d86de73F54AC,2141715607795770000000
0x07F2BDd209D8D7D80c047Bc7b7A78593bE37195f,1018658104322400000000000
0x07F42621E2E82bB636A5aD3E602E6E9C1f19aC09,1634909768367520000000
0x081c2D473B62A2c13CFfF364F30B56EBC29b9060,414544021588177000000
0x091Cf50B11F191E04B4173FD28A030A6B801c49A,84692200072146700000000
0x094B12A57FCF2C37E0b5898a50F372427812280f,10269240734816500000000
0x09590326021fE400dE3Ce8B54E55E534C8Fa9D60,2141715607795770000000
0x095c938780605911Df64dc66342C3260989E68A9,669246678057367000000
0x0965290539099054Ca569d4d534Ff52c1BE4870f,6450998128171780000000
0x096918C52454Fce2d6d139685A88a861091DB6f2,822979309272000000000
0x098dDb5F48AD1DAA5f691c4b2AD6360e45a22747,2141715607795770000000
0x09DbE04f651B21138920A0a6C64773F8704492b1,2678177227017830000000
0x09dbE191065884cF36C18bfa5A9Fde973edC86E3,23659028583930600000
0x0a01d7950BBe0C27287C06aC0d07680640C7e61A,227845544862581000000
0x0a3043F9d2b1c6cCfc492EB59Af5156F378c57BD,55634750128572000000000
0x0a55C4A2cdFa4f3C486415bf1EA7dC24c472DDeA,20287700540721300000000
0x0A7CD00d0FE34B1d285B11aa4047C540b4bCb517,2141715607795770000000
0x0A83985E4A6E8Dae2B67beD4f2d9268f6806Ce00,2141715607795770000000
0x0B2c2BAD715b981D050872A7805013b0Abe7b694,100649106002862000000
0x0b3aa91438E098AB60E63bADeDDe2fd227DD5Ed1,694559959394919000000000
0x0B56bd2F27C87F67d7AEbB2D41F2A8BfF3C24685,230620769894387000000
0x0B7576A64A0F4b4924D55eD328Ede4979446521B,909962637909605000
0x0B997e226B63FdED87673Bc8B43bA24477b8147A,34280827712852000000
0x0Bd27FAc898a59680b9dc92bB7378Df610825E8D,11287758207514700000000
0x0BdD3547f516287Cf3c8c7427CE86d4F3d20b314,1763536508884020000000
0x0C2D46095EcF9310c443dD9F83F35C946A5028AF,102970674269995000000
0x0c43B5EFe2f9e478b3834d3B751e88a284787861,10694437409038400000000
0x0C82E08b1b4E62033D2Ac3010EB774B30788B8fF,3118944279503150000000
0x0D4c74C2C80c7d1AF1b0F7488D09dAB8cA82d1E1,51130800614402100000
0x0dA8aF128E39776Cf0a10DFDB9F70FE3490094dE,424871603948366000000
0x0DeE9367Fa7690F509245442D5808e065C50380e,36887234996767700000000
0x0DF06476eA7b96c96D928429e247Aa0ec85ba95d,2141715607795770000000
0x0dF3Dc2eB13aB4784a17D7bfA19aD61585117554,9591955844403000000000
0x0e274893a525B36d397d6415c65863F20643dab4,9809397235410610000
0x0E3e1f6cBFe0D4E0C9251C90C7eBd2dabA2011D4,1488459143731180000000
0x0E80A01f8E69D535975Fa34e64498651BC74247f,20353275067376600000000
0x0e88C1171188Ab7Efbfe9947aDAC3E43d882a380,50479343105385400000000
0x0e9A181d799a3f02dcBC7D804C933D465D74dc4c,2141715607795770000000
0x0eBDaf1Fc3C383214825AdbCa7c06eb60a504A82,1939600885266290000000
0x0F45156F109e474295913D78036FA213b1745D5A,4396145732999740000000
0x0f6aC4df63548EcfA11e7A218c9eEe4c079F680A,220456648277859000000
0x0F89DeF402B8Ffa30eC805BeA36216876cC3E318,2141715607795770000000
0x0faA92aB469Db5D268fD37C2F1F5E39F72B0E3B3,43631467993397100000000
0x1025e80EDBe3B562e3Ba0EFc2288A70A4Da9EC47,2141715607795770000000
0x1029Cc5980b2adFeb2Dc2e1923c2C3ff173299A6,114728089354499000000
0x1047F05d11a447D3D346488aB554B403B9a6fA3a,3823965606746280000000
0x10fc136bFb2B83E389e74C80f9A2B28b0D50320D,160990589914061000000
0x11141775c53a9aB80C5ecBa3146FBCF1bD0616d6,828429985421566000000
0x118de97277d6Db92f64d3b985B08fF6B2a114076,598141999230627000000
0x119030aD7E6FEa8f694782898038da2E768cF6BF,16078005229543800000000
0x11Be8424bAbc96C6250BC846bf8B465AE0a3106B,3182704558695040000000
0x11eFD8579B24e49F0ff2c14Be23241045c8f7C01,7997824007781400000000
0x123235Cd749CcaB2B466DA88A07e66089f79bFB4,632318307050656000000
0x1255E17ffF07322231A4124Bb455C85d20d0a2c4,1527961143095260000000000
0x1273162B4fE3424Bf03d74c88181714Bbd263393,28523691635548500000000
0x129ab3a1C3eB5C3d27183A9f55caFe21a8dE49D7,195934675221042000000000
0x12d2C151F83C59106Dab90E99dfc210b51b005bd,1293548298970600000000
0x12f0022Df0353cA4b59165419573c1B761F6b5Fc,642812911244209000000
0x132e0544fA7c900E3b294a84c485AA371c1871b2,2057614349464530000000
0x133D93566f9699B3Af46fE150daA8a67a9563ED6,467081274982934000000000
0x134a0C2b582e75f8Fd6c52cd07f96B454857801E,2141715607795770000000
0x1371D3038d35e9406f7CE55Df1DB4c6302704F10,2141715607795770000000
0x13a32F37AB615D3f2c4296d43E9f48a7546C1b77,813817768557462000000
0x14aAD4668de2115e30A5FeeE42CFa436899CCD8A,2141715607795770000000
0x14fA6410f7c2D81F4617a4C7f0dEA91235DbAd1a,3189380848262320000000
0x150fB1a585f56B3D693c55a28b9f3520caE9B9C0,824435031470626000000000
0x1525D8fcAD680088245055fFB43179367D3EFfC0,2141715607795770000000
0x152A8e4f6502842CD0325a1038626b8f1E424EFC,2537448042666420000000
0x153B4F4f2c6c284f844A53eB2e097D23B7bfa4Dd,2141715607795770000000
0x1558A7E06CB93f68E4056bAa4757Ae6f19721BF5,3926890899198410000000
0x156e4293477d4371Ce37eEd4ba084b609E841BCC,9738418846589650000000
0x15c31bc8109640935e86d38af7e01A013f41b69d,2141715607795770000000
0x1606e156009D8897c9D752082ac92DaE29eA219c,145525917737145000000
0x161D9B5d6e3eD8D9c1D36a7Caf971901C60B9222,2602462442246520000000
0x16224283bE3f7C0245d9D259Ea82eaD7fcB8343d,1795237989586730000000
0x1633090139689AcF26BC44C7dc9c5F2D4e320526,6467741494852990000000
0x164572AcFf302AC81C257299fC5c2a074f069C34,2141715607795770000000
0x164A2300B19D888506556A1CF38365f10FACD808,2141715607795770000000
0x167D87A906dA361A10061fe42bbe89451c2EE584,1719513851868870000000000
0x168A2dC9ABD2d42B1036149C3B0D849367e10864,147464291196807000000
0x16a55D6C1D1991Dfe63Af7a0b8F19749791c9f52,2845848206558400000000
0x16D786614466510C0930642F62F1b391e26E9be1,1293548298970600000000
0x16E1bc23C2210Ed6C8410e3c6Ec0FD8C0B5662Da,11196171789038300000000
0x16ef04260Ca959C75bd8d4247874517c9cF74d12,382998072913596000000
0x16Fd9A23CC13B3530D5f2d1850189880D93E7485,577999221821939000000
0x16fFf9D1546C7b4d0df0c35dc2c55b7b32A67D1c,160508309672742000000
0x170D2eA8f593FCAbDB353DBf92fC9E4a417D688C,26544013890650300000000
0x17134D2b7529a0692E39FC1Eadb24D1a903ad0Bd,9199722266885180000
0x1723e4d5DAAc7D6761941237d9a70b200424AF41,78326880590562400000
0x172B544064B3B1d34731102f1FbF04DdD7E554b4,8814190467275540000000
0x174AA76FA2EF0B6d1316cd0960868f79Eb0d9Cd8,2141715607795770000000
0x17585B625889bEFc32d6B9f538b54f9c6D1fB1c2,6495468001791250000000
0x17795c5Bcc5843029b42bfe1b271c4b256625F83,660341839977461000000
0x17A3db44a39c47eC1666fD87FfA0b63Bc8e27E95,51485686042559400000
0x17c8AFd739A175eACF8Af5531671b222102B8083,1293548298970600000000
0x17e566d94b9E9471eaAA1fd48fEd92666Fe0e6c0,7456605099496800000000
0x1820AC94838Af32bBead528Cbd0b050579ead08f,19445901569042500000
0x1846622892AA7bfe5d7282643133Ad47823FF18e,2141715607795770000000
0x18491bA2e189ac8c18C1Ffa6AEDB6290eF1C73fA,124425949912525000000000
0x19312C283892c80bB94beE87e88D6E726b377a1d,478619745694054000000
0x193717f21f37890A993E9D26b05E4A1822B06038,149788949779653000000
0x19C1c6bB9927B6E3F259A537D9032EF69C21DE43,231539993154943000000
0x1A2929B1Da32A2DcCE6442a90853De48006935dd,2388832130488430000000
0x1a31e1dc5A6431dF52Ad14572aF2A5B885a3C964,47591045957429100000
0x1Ab7C6aD635d99C9637E08a95290a21d677501de,3453398991053830000000
0x1AeD6C62bd84aCBFb3e6f4a42851F559Ef0eF6bE,2141715607795770000000
0x1b2B36FAaa1cF712d28dc2DA8311051F24348749,2141715607795770000000
0x1B2dAb8062e1d7ea6D6BfF01aE297feDE19E3125,4240808076049600000000
0x1b4862F983AA573518B612f1bb1579F4b02796CB,4972608128616120000000
0x1b5bbc00D336e42ce6dd79DDA4B5AB056A614f4b,564322429480362000000
0x1b73dc0bfa7E095A9bcb71bC6F3e95242C76c0E1,10380336073986400000000
0x1be1329BfCD8bC85b424Fa9af7392e5deFbDb2ED,1293548298970600000000
0x1Bec4f239F1Ec11FD8DC7B31A8fea7A5bA5a9Aa4,66199781899973000000
0x1c51647584207d82DbD59b8A62e93b9A43853543,8519576983508930000
0x1C56038011D90d8F338bFdB72F679bFF73dAB81c,2141715607795770000000
0x1C9A640505aD0FA98c6a61d3357962fb8D940bD1,1508435392430770000000
0x1CE864effd14cD9222d6C5bca161116abFE1e54E,37800904015383500000000
0x1CF2B8c64AEd32bFf2Ae80e701681316d3212aFd,357296829707689000000
0x1D15754199854c7d0817bE1dAFb53fbCcD1C113f,74458608993306900000000
0x1D5f46E9a131A8B429f8C505B2381a24367a6e67,7285007206674660000000
0x1dA29Ca4E330F0Faa816edB6B55B46f9eE453F7f,30957255833796900000000
0x1dcbb7Df5d78E85fB8e92D8A6Ef408f8Ad814a31,4112016889819330000000
0x1dd581F799D163422ED4a41a9508480ED51Ed3B7,145339232507978000000
0x1DDEf735E94f994c3E76AD619a91C8D43379BF08,294804123675087000000000
0x1dEA9e64E57Ab2ac25b3C73e74E9A3294d6B3fB8,2606338517440820000000
0x1E42E5e37546CA46F122746d43959392bAe8966B,6239998204908080000000
